orderID,customerID,employeeID,orderDate,requiredDate,shippedDate,shipVia,freight,shipName,shipAddress,shipCity,shipRegion,shipPostalCode,shipCountry
10248,VINET,5,1996-07-04 00:00:00.000,1996-08-01 00:00:00.000,1996-07-16 00:00:00.000,3,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10249,TOMSP,6,1996-07-05 00:00:00.000,1996-08-16 00:00:00.000,1996-07-10 00:00:00.000,1,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,NULL,44087,Germany
10250,HANAR,4,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-12 00:00:00.000,2,65.83,Hanari Carnes,Rua do Paço 67,Rio de Janeiro,RJ,05454-876,Brazil
10251,VICTE,3,1996-07-08 00:00:00.000,1996-08-05 00:00:00.000,1996-07-15 00:00:00.000,1,41.34,Victuailles en stock,2 rue du Commerce,Lyon,NULL,69004,France
10252,SUPRD,4,1996-07-09 00:00:00.000,1996-08-06 00:00:00.000,1996-07-11 00:00:00.000,2,51.30,Suprêmes délices,Boulevard Tirou 255,Charleroi,NULL,B-6000,Belgium
10253,HANAR,3,1996-07-10 00:00:00.000,1996-07-24 00:00:00.000,1996-07-16 00:00:00.000,2,58.17,Hanari Carnes,Rua do Paço 67,Rio de Janeiro,RJ,05454-876,Brazil
10254,CHOPS,5,1996-07-11 00:00:00.000,1996-08-08 00:00:00.000,1996-07-23 00:00:00.000,2,22.98,Chop-suey Chinese,Hauptstr. 31,Bern,NULL,3012,Switzerland
10255,RICSU,9,1996-07-12 00:00:00.000,1996-08-09 00:00:00.000,1996-07-15 00:00:00.000,3,148.33,Richter Supermarkt,Starenweg 5,Genève,NULL,1204,Switzerland
10256,WELLI,3,1996-07-15 00:00:00.000,1996-08-12 00:00:00.000,1996-07-17 00:00:00.000,2,13.97,Wellington Importadora,Rua do Mercado 12,Resende,SP,08737-363,Brazil
10257,HILAA,4,1996-07-16 00:00:00.000,1996-08-13 00:00:00.000,1996-07-22 00:00:00.000,3,81.91,HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
10258,ERNSH,1,1996-07-17 00:00:00.000,1996-08-14 00:00:00.000,1996-07-23 00:00:00.000,1,140.51,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10259,CENTC,4,1996-07-18 00:00:00.000,1996-08-15 00:00:00.000,1996-07-25 00:00:00.000,3,3.25,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,NULL,05022,Mexico
10260,OTTIK,4,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-29 00:00:00.000,1,55.09,Ottilies Käseladen,Mehrheimerstr. 369,Köln,NULL,50739,Germany
10261,QUEDE,4,1996-07-19 00:00:00.000,1996-08-16 00:00:00.000,1996-07-30 00:00:00.000,2,3.05,Que Delícia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil
10262,RATTC,8,1996-07-22 00:00:00.000,1996-08-19 00:00:00.000,1996-07-25 00:00:00.000,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10263,ERNSH,9,1996-07-23 00:00:00.000,1996-08-20 00:00:00.000,1996-07-31 00:00:00.000,3,146.06,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10264,FOLKO,6,1996-07-24 00:00:00.000,1996-08-21 00:00:00.000,1996-08-23 00:00:00.000,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden
10265,BLONP,2,1996-07-25 00:00:00.000,1996-08-22 00:00:00.000,1996-08-12 00:00:00.000,1,55.28,Blondel père et fils,24 place Kléber,Strasbourg,NULL,67000,France
10266,WARTH,3,1996-07-26 00:00:00.000,1996-09-06 00:00:00.000,1996-07-31 00:00:00.000,3,25.73,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10267,FRANK,4,1996-07-29 00:00:00.000,1996-08-26 00:00:00.000,1996-08-06 00:00:00.000,1,208.58,Frankenversand,Berliner Platz 43,München,NULL,80805,Germany
10268,GROSR,8,1996-07-30 00:00:00.000,1996-08-27 00:00:00.000,1996-08-02 00:00:00.000,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
10269,WHITC,5,1996-07-31 00:00:00.000,1996-08-14 00:00:00.000,1996-08-09 00:00:00.000,1,4.56,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10270,WARTH,1,1996-08-01 00:00:00.000,1996-08-29 00:00:00.000,1996-08-02 00:00:00.000,1,136.54,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10271,SPLIR,6,1996-08-01 00:00:00.000,1996-08-29 00:00:00.000,1996-08-30 00:00:00.000,2,4.54,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10272,RATTC,6,1996-08-02 00:00:00.000,1996-08-30 00:00:00.000,1996-08-06 00:00:00.000,2,98.03,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10273,QUICK,3,1996-08-05 00:00:00.000,1996-09-02 00:00:00.000,1996-08-12 00:00:00.000,3,76.07,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10274,VINET,6,1996-08-06 00:00:00.000,1996-09-03 00:00:00.000,1996-08-16 00:00:00.000,1,6.01,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10275,MAGAA,1,1996-08-07 00:00:00.000,1996-09-04 00:00:00.000,1996-08-09 00:00:00.000,1,26.93,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
10276,TORTU,8,1996-08-08 00:00:00.000,1996-08-22 00:00:00.000,1996-08-14 00:00:00.000,3,13.84,Tortuga Restaurante,Avda. Azteca 123,México D.F.,NULL,05033,Mexico
10277,MORGK,2,1996-08-09 00:00:00.000,1996-09-06 00:00:00.000,1996-08-13 00:00:00.000,3,125.77,Morgenstern Gesundkost,Heerstr. 22,Leipzig,NULL,04179,Germany
10278,BERGS,8,1996-08-12 00:00:00.000,1996-09-09 00:00:00.000,1996-08-16 00:00:00.000,2,92.69,Berglunds snabbköp,Berguvsvägen  8,Luleå,NULL,S-958 22,Sweden
10279,LEHMS,8,1996-08-13 00:00:00.000,1996-09-10 00:00:00.000,1996-08-16 00:00:00.000,2,25.83,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10280,BERGS,2,1996-08-14 00:00:00.000,1996-09-11 00:00:00.000,1996-09-12 00:00:00.000,1,8.98,Berglunds snabbköp,Berguvsvägen  8,Luleå,NULL,S-958 22,Sweden
10281,ROMEY,4,1996-08-14 00:00:00.000,1996-08-28 00:00:00.000,1996-08-21 00:00:00.000,1,2.94,Romero y tomillo,Gran Vía 1,Madrid,NULL,28001,Spain
10282,ROMEY,4,1996-08-15 00:00:00.000,1996-09-12 00:00:00.000,1996-08-21 00:00:00.000,1,12.69,Romero y tomillo,Gran Vía 1,Madrid,NULL,28001,Spain
10283,LILAS,3,1996-08-16 00:00:00.000,1996-09-13 00:00:00.000,1996-08-23 00:00:00.000,3,84.81,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10284,LEHMS,4,1996-08-19 00:00:00.000,1996-09-16 00:00:00.000,1996-08-27 00:00:00.000,1,76.56,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10285,QUICK,1,1996-08-20 00:00:00.000,1996-09-17 00:00:00.000,1996-08-26 00:00:00.000,2,76.83,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10286,QUICK,8,1996-08-21 00:00:00.000,1996-09-18 00:00:00.000,1996-08-30 00:00:00.000,3,229.24,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10287,RICAR,8,1996-08-22 00:00:00.000,1996-09-19 00:00:00.000,1996-08-28 00:00:00.000,3,12.76,Ricardo Adocicados,Av. Copacabana 267,Rio de Janeiro,RJ,02389-890,Brazil
10288,REGGC,4,1996-08-23 00:00:00.000,1996-09-20 00:00:00.000,1996-09-03 00:00:00.000,1,7.45,Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,NULL,42100,Italy
10289,BSBEV,7,1996-08-26 00:00:00.000,1996-09-23 00:00:00.000,1996-08-28 00:00:00.000,3,22.77,B's Beverages,Fauntleroy Circus,London,NULL,EC2 5NT,UK
10290,COMMI,8,1996-08-27 00:00:00.000,1996-09-24 00:00:00.000,1996-09-03 00:00:00.000,1,79.70,Comércio Mineiro,Av. dos Lusíadas 23,Sao Paulo,SP,05432-043,Brazil
10291,QUEDE,6,1996-08-27 00:00:00.000,1996-09-24 00:00:00.000,1996-09-04 00:00:00.000,2,6.40,Que Delícia,Rua da Panificadora 12,Rio de Janeiro,RJ,02389-673,Brazil
10292,TRADH,1,1996-08-28 00:00:00.000,1996-09-25 00:00:00.000,1996-09-02 00:00:00.000,2,1.35,Tradiçao Hipermercados,Av. Inês de Castro 414,Sao Paulo,SP,05634-030,Brazil
10293,TORTU,1,1996-08-29 00:00:00.000,1996-09-26 00:00:00.000,1996-09-11 00:00:00.000,3,21.18,Tortuga Restaurante,Avda. Azteca 123,México D.F.,NULL,05033,Mexico
10294,RATTC,4,1996-08-30 00:00:00.000,1996-09-27 00:00:00.000,1996-09-05 00:00:00.000,2,147.26,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10295,VINET,2,1996-09-02 00:00:00.000,1996-09-30 00:00:00.000,1996-09-10 00:00:00.000,2,1.15,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,NULL,51100,France
10296,LILAS,6,1996-09-03 00:00:00.000,1996-10-01 00:00:00.000,1996-09-11 00:00:00.000,1,0.12,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10297,BLONP,5,1996-09-04 00:00:00.000,1996-10-16 00:00:00.000,1996-09-10 00:00:00.000,2,5.74,Blondel père et fils,24 place Kléber,Strasbourg,NULL,67000,France
10298,HUNGO,6,1996-09-05 00:00:00.000,1996-10-03 00:00:00.000,1996-09-11 00:00:00.000,2,168.22,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland
10299,RICAR,4,1996-09-06 00:00:00.000,1996-10-04 00:00:00.000,1996-09-13 00:00:00.000,2,29.76,Ricardo Adocicados,Av. Copacabana 267,Rio de Janeiro,RJ,02389-890,Brazil
10300,MAGAA,2,1996-09-09 00:00:00.000,1996-10-07 00:00:00.000,1996-09-18 00:00:00.000,2,17.68,Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,NULL,24100,Italy
10301,WANDK,8,1996-09-09 00:00:00.000,1996-10-07 00:00:00.000,1996-09-17 00:00:00.000,2,45.08,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10302,SUPRD,4,1996-09-10 00:00:00.000,1996-10-08 00:00:00.000,1996-10-09 00:00:00.000,2,6.27,Suprêmes délices,Boulevard Tirou 255,Charleroi,NULL,B-6000,Belgium
10303,GODOS,7,1996-09-11 00:00:00.000,1996-10-09 00:00:00.000,1996-09-18 00:00:00.000,2,107.83,Godos Cocina Típica,C/ Romero 33,Sevilla,NULL,41101,Spain
10304,TORTU,1,1996-09-12 00:00:00.000,1996-10-10 00:00:00.000,1996-09-17 00:00:00.000,2,63.79,Tortuga Restaurante,Avda. Azteca 123,México D.F.,NULL,05033,Mexico
10305,OLDWO,8,1996-09-13 00:00:00.000,1996-10-11 00:00:00.000,1996-10-09 00:00:00.000,3,257.62,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10306,ROMEY,1,1996-09-16 00:00:00.000,1996-10-14 00:00:00.000,1996-09-23 00:00:00.000,3,7.56,Romero y tomillo,Gran Vía 1,Madrid,NULL,28001,Spain
10307,LONEP,2,1996-09-17 00:00:00.000,1996-10-15 00:00:00.000,1996-09-25 00:00:00.000,2,0.56,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10308,ANATR,7,1996-09-18 00:00:00.000,1996-10-16 00:00:00.000,1996-09-24 00:00:00.000,3,1.61,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,NULL,05021,Mexico
10309,HUNGO,3,1996-09-19 00:00:00.000,1996-10-17 00:00:00.000,1996-10-23 00:00:00.000,1,47.30,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland
10310,THEBI,8,1996-09-20 00:00:00.000,1996-10-18 00:00:00.000,1996-09-27 00:00:00.000,2,17.52,The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA
10311,DUMON,1,1996-09-20 00:00:00.000,1996-10-04 00:00:00.000,1996-09-26 00:00:00.000,3,24.69,Du monde entier,67 rue des Cinquante Otages,Nantes,NULL,44000,France
10312,WANDK,2,1996-09-23 00:00:00.000,1996-10-21 00:00:00.000,1996-10-03 00:00:00.000,2,40.26,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10313,QUICK,2,1996-09-24 00:00:00.000,1996-10-22 00:00:00.000,1996-10-04 00:00:00.000,2,1.96,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10314,RATTC,1,1996-09-25 00:00:00.000,1996-10-23 00:00:00.000,1996-10-04 00:00:00.000,2,74.16,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10315,ISLAT,4,1996-09-26 00:00:00.000,1996-10-24 00:00:00.000,1996-10-03 00:00:00.000,2,41.76,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10316,RATTC,1,1996-09-27 00:00:00.000,1996-10-25 00:00:00.000,1996-10-08 00:00:00.000,3,150.15,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10317,LONEP,6,1996-09-30 00:00:00.000,1996-10-28 00:00:00.000,1996-10-10 00:00:00.000,1,12.69,Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
10318,ISLAT,8,1996-10-01 00:00:00.000,1996-10-29 00:00:00.000,1996-10-04 00:00:00.000,2,4.73,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10319,TORTU,7,1996-10-02 00:00:00.000,1996-10-30 00:00:00.000,1996-10-11 00:00:00.000,3,64.50,Tortuga Restaurante,Avda. Azteca 123,México D.F.,NULL,05033,Mexico
10320,WARTH,5,1996-10-03 00:00:00.000,1996-10-17 00:00:00.000,1996-10-18 00:00:00.000,3,34.57,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10321,ISLAT,3,1996-10-03 00:00:00.000,1996-10-31 00:00:00.000,1996-10-11 00:00:00.000,2,3.43,Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
10322,PERIC,7,1996-10-04 00:00:00.000,1996-11-01 00:00:00.000,1996-10-23 00:00:00.000,3,0.40,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,NULL,05033,Mexico
10323,KOENE,4,1996-10-07 00:00:00.000,1996-11-04 00:00:00.000,1996-10-14 00:00:00.000,1,4.88,Königlich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany
10324,SAVEA,9,1996-10-08 00:00:00.000,1996-11-05 00:00:00.000,1996-10-10 00:00:00.000,1,214.27,Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
10325,KOENE,1,1996-10-09 00:00:00.000,1996-10-23 00:00:00.000,1996-10-14 00:00:00.000,3,64.86,Königlich Essen,Maubelstr. 90,Brandenburg,NULL,14776,Germany
10326,BOLID,4,1996-10-10 00:00:00.000,1996-11-07 00:00:00.000,1996-10-14 00:00:00.000,2,77.92,Bólido Comidas preparadas,C/ Araquil 67,Madrid,NULL,28023,Spain
10327,FOLKO,2,1996-10-11 00:00:00.000,1996-11-08 00:00:00.000,1996-10-14 00:00:00.000,1,63.36,Folk och fä HB,Åkergatan 24,Bräcke,NULL,S-844 67,Sweden
10328,FURIB,4,1996-10-14 00:00:00.000,1996-11-11 00:00:00.000,1996-10-17 00:00:00.000,3,87.03,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal
10329,SPLIR,4,1996-10-15 00:00:00.000,1996-11-26 00:00:00.000,1996-10-23 00:00:00.000,2,191.67,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10330,LILAS,3,1996-10-16 00:00:00.000,1996-11-13 00:00:00.000,1996-10-28 00:00:00.000,1,12.75,LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
10331,BONAP,9,1996-10-16 00:00:00.000,1996-11-27 00:00:00.000,1996-10-21 00:00:00.000,1,10.19,Bon app',12 rue des Bouchers,Marseille,NULL,13008,France
10332,MEREP,3,1996-10-17 00:00:00.000,1996-11-28 00:00:00.000,1996-10-21 00:00:00.000,2,52.84,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10333,WARTH,5,1996-10-18 00:00:00.000,1996-11-15 00:00:00.000,1996-10-25 00:00:00.000,3,0.59,Wartian Herkku,Torikatu 38,Oulu,NULL,90110,Finland
10334,VICTE,8,1996-10-21 00:00:00.000,1996-11-18 00:00:00.000,1996-10-28 00:00:00.000,2,8.56,Victuailles en stock,2 rue du Commerce,Lyon,NULL,69004,France
10335,HUNGO,7,1996-10-22 00:00:00.000,1996-11-19 00:00:00.000,1996-10-24 00:00:00.000,2,42.11,Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,NULL,Ireland
10336,PRINI,7,1996-10-23 00:00:00.000,1996-11-20 00:00:00.000,1996-10-25 00:00:00.000,2,15.51,Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,NULL,1756,Portugal
10337,FRANK,4,1996-10-24 00:00:00.000,1996-11-21 00:00:00.000,1996-10-29 00:00:00.000,3,108.26,Frankenversand,Berliner Platz 43,München,NULL,80805,Germany
10338,OLDWO,4,1996-10-25 00:00:00.000,1996-11-22 00:00:00.000,1996-10-29 00:00:00.000,3,84.21,Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
10339,MEREP,2,1996-10-28 00:00:00.000,1996-11-25 00:00:00.000,1996-11-04 00:00:00.000,2,15.66,Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
10340,BONAP,1,1996-10-29 00:00:00.000,1996-11-26 00:00:00.000,1996-11-08 00:00:00.000,3,166.31,Bon app',12 rue des Bouchers,Marseille,NULL,13008,France
10341,SIMOB,7,1996-10-29 00:00:00.000,1996-11-26 00:00:00.000,1996-11-05 00:00:00.000,3,26.78,Simons bistro,Vinbæltet 34,Kobenhavn,NULL,1734,Denmark
10342,FRANK,4,1996-10-30 00:00:00.000,1996-11-13 00:00:00.000,1996-11-04 00:00:00.000,2,54.83,Frankenversand,Berliner Platz 43,München,NULL,80805,Germany
10343,LEHMS,4,1996-10-31 00:00:00.000,1996-11-28 00:00:00.000,1996-11-06 00:00:00.000,1,110.37,Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,NULL,60528,Germany
10344,WHITC,4,1996-11-01 00:00:00.000,1996-11-29 00:00:00.000,1996-11-05 00:00:00.000,2,23.29,White Clover Markets,1029 - 12th Ave. S.,Seattle,WA,98124,USA
10345,QUICK,2,1996-11-04 00:00:00.000,1996-12-02 00:00:00.000,1996-11-11 00:00:00.000,2,249.06,QUICK-Stop,Taucherstraße 10,Cunewalde,NULL,01307,Germany
10346,RATTC,3,1996-11-05 00:00:00.000,1996-12-17 00:00:00.000,1996-11-08 00:00:00.000,3,142.08,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
10347,FAMIA,4,1996-11-06 00:00:00.000,1996-12-04 00:00:00.000,1996-11-08 00:00:00.000,3,3.10,Familia Arquibaldo,Rua Orós 92,Sao Paulo,SP,05442-030,Brazil
10348,WANDK,4,1996-11-07 00:00:00.000,1996-12-05 00:00:00.000,1996-11-15 00:00:00.000,2,0.78,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
10349,SPLIR,7,1996-11-08 00:00:00.000,1996-12-06 00:00:00.000,1996-11-15 00:00:00.000,1,8.63,Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
10350,LAMAI,6,1996-11-11 00:00:00.000,1996-12-09 00:00:00.000,1996-12-03 00:00:00.000,2,64.19,La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,NULL,31000,France
10351,ERNSH,1,1996-11-11 00:00:00.000,1996-12-09 00:00:00.000,1996-11-20 00:00:00.000,1,162.33,Ernst Handel,Kirchgasse 6,Graz,NULL,8010,Austria
10352,FURIB,3,1996-11-12 00:00:00.000,1996-11-26 00:00:00.000,1996-11-18 00:00:00.000,3,1.30,Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,NULL,1675,Portugal
10353,PICCO,7,1996-11-13 00:00:00.000,1996-12-11 00:00:00.000,1996-11-25 00:00:00.000,3,360.63,Piccolo und mehr,Geislweg 14,Salzburg,NULL,5020,Austria
10354,PERIC,8,1996-11-14 00:00:00.000,1996-12-12 00:00:00.000,1996-11-20 00:00:00.000,3,53.80,Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,NULL,05033,Mexico
10355,AROUT,6,1996-11-15 00:00:00.000,1996-12-13 00:00:00.000,1996-11-20 00:00:00.000,1,41.95,Around the Horn,Brook Farm Stratford St. Mary,Colchester,Essex,CO7 6JX,UK
10356,WANDK,6,1996-11-18 00:00:00.000,1996-12-16 00:00:00.000,1996-11-27 00:00:00.000,2,36.71,Die Wandernde Kuh,Adenauerallee 900,Stuttgart,NULL,70563,Germany
